domain,url,sum_traffic,value,keywords,top_keyword,top_keyword_volume,top_keyword_best_position,top_keyword_best_position_kind,top_keyword_best_position_title,page_type,ur,referring_domains,status,traffic_diff,keywords_diff
nexopay.com.br,https://nexopay.com.br/blog/como-gerar-boleto,6872,52054,40,como gerar boleto,11000,1,organic,Como gerar boleto - como fazer em 2026,,16,7,both,5917,-3
infinitepay.io,https://infinitepay.io/maquininha,6714,501578,10,maquininha de cartao,40000,4,organic,O que e Maquininha de cartao e como usar,,17,4,both,1634,28
bancoquantum.com.br,https://bancoquantum.com.br/ajuda/gerar-boleto,6286,5923,9,gerar boleto quantum,9400,1,organic,Gerar boleto quantum: passo a passo,/Core_Page/FAQ_Page,22,17,both,3548,31
dinheirocerto.com.br,https://dinheirocerto.com.br/calculadoras/rescisao,6073,34352,16,calculadora de rescisao,21000,2,organic,O que e Calculadora de rescisao e como usar,,34,155,both,5384,3
lojafacil.com.br,https://lojafacil.com.br/ferramentas/editor-imagem,5602,25853,52,editor de imagem online,16000,2,organic,Editor de imagem online - como fazer em 2026,/Interactive_Tools/Calculator,28,62,both,-480,13
vendamais.com.br,https://vendamais.com.br/login,5146,11923,48,vendamais login,12000,1,organic,Vendamais login: passo a passo,,15,4,left,1507,10
dinheirocerto.com.br,https://dinheirocerto.com.br/calculadoras/horas-extras,4809,9775,40,calculadora horas extras,8800,1,organic,Calculadora horas extras: guia completo,/Interactive_Tools/Calculator,35,128,both,3838,3
nexopay.com.br,https://nexopay.com.br/blog/boleto-bancario,4604,44796,28,boleto bancario,15000,2,organic,Boleto bancario | Nexopay,,16,6,both,2908,25
bancoaurora.com.br,https://bancoaurora.com.br/login,4063,22004,46,aurora login,11000,1,organic,Aurora login | Bancoaurora,,24,13,both,376,24
contadorexpress.com.br,https://contadorexpress.com.br/blog/como-abrir-mei,4055,41453,15,como abrir mei,33000,4,organic,Como abrir mei: guia completo,,16,7,both,1487,34
financasclaras.blog.br,https://financasclaras.blog.br/markup,3672,8554,57,markup,9900,2,organic,Tudo sobre Markup,,7,1,both,1791,28
nexopay.com.br,https://nexopay.com.br/,3610,270544,17,gateway de pagamento,6600,3,organic,Gateway de pagamento | Nexopay,,46,1956,both,2253,24
dinheirocerto.com.br,https://dinheirocerto.com.br/ferramentas/unidades,3439,5618,39,conversor de unidades,11000,2,organic,O que e Conversor de unidades e como usar,/Interactive_Tools/Calculator,28,40,both,1859,34
dinheirocerto.com.br,https://dinheirocerto.com.br/ferramentas/imc,3328,2626,24,calculadora imc,41000,4,organic,Calculadora imc: 7 dicas praticas,/Interactive_Tools/Calculator,22,19,both,478,34
dinheirocerto.com.br,https://dinheirocerto.com.br/calculadoras/fgts,3275,9217,22,calculadora fgts,12000,2,organic,Calculadora fgts - como fazer em 2026,/Interactive_Tools/Calculator,34,113,both,34,14
lojafacil.com.br,https://lojafacil.com.br/blog/precificacao-o-que-e,3227,97710,19,precificacao,14800,3,organic,Precificacao: passo a passo,,21,15,both,-296,19
contazen.com.br,https://contazen.com.br/calculadoras/rescisao,3214,39435,28,calculadora de rescisao,21000,5,organic,Tudo sobre Calculadora de rescisao,,29,49,both,1949,5
contadorexpress.com.br,https://contadorexpress.com.br/calculadoras/ferias,3150,19629,33,calculadora de ferias,42000,6,organic,O que e Calculadora de ferias e como usar,,26,38,both,2766,10
contazen.com.br,https://contazen.com.br/blog/tabela-simples-nacional,3149,29566,12,simples nacional tabela,24000,5,organic,Simples nacional tabela: passo a passo,,19,7,left,2267,4
maquinacerta.net,https://maquinacerta.net/melhor-maquininha,3135,134749,41,qual a melhor maquininha,7300,3,organic,O que e Qual a melhor maquininha e como usar,,2,0,left,974,17
credlink.com.br,https://credlink.com.br/portal/login,3038,19577,24,credlink login,4900,1,organic,O que e Credlink login e como usar,,19,14,both,1216,32
contadorexpress.com.br,https://contadorexpress.com.br/blog/simples-nacional,2955,17706,19,simples nacional tabela,24000,3,organic,Simples nacional tabela | Contadorexpress,,19,7,left,-277,-5
lojafacil.com.br,https://lojafacil.com.br/blog/criar-loja-virtual,2890,67036,36,como criar loja virtual,7100,2,organic,Como criar loja virtual | Lojafacil,,20,15,both,122,5
vendamais.com.br,https://vendamais.com.br/ferramentas/gerador-cpf,2773,3566,26,gerador de cpf,14000,4,organic,Gerador de cpf: guia completo,,24,18,left,-336,34
credlink.com.br,https://credlink.com.br/antecipacao,2608,175335,35,credlink antecipacao,6800,1,organic,Credlink antecipacao - Credlink,,17,5,both,1110,10
bancoquantum.com.br,https://bancoquantum.com.br/pix/qr-code,2502,8377,42,qr code pix,18000,3,organic,Qr code pix: 7 dicas praticas,,26,20,left,2022,-7
maquinacerta.net,https://maquinacerta.net/pagsfera,2450,140665,21,maquininha pagsfera,52000,8,organic,Maquininha pagsfera: passo a passo,,2,0,both,1932,0
pagsfera.com.br,https://pagsfera.com.br/portal/login,2268,13830,38,portal do cliente pagsfera,6800,1,organic,Portal do cliente pagsfera: guia completo,,24,22,both,-283,18
lojafacil.com.br,https://lojafacil.com.br/blog/google-meu-negocio-como-criar-o-que-e,2170,19434,60,google meu negocio como criar o que e,3247,1,organic,Google meu negocio como criar o que e - como fazer em 2026,,24,21,both,277,33
contadorexpress.com.br,https://contadorexpress.com.br/blog/nota-fiscal-mei,2150,24236,30,como emitir nota fiscal mei,12000,2,organic,O que e Como emitir nota fiscal mei e como usar,/Article/How_to,19,10,both,1307,4
credlink.com.br,https://credlink.com.br/emprestimo-pj,2113,134028,15,emprestimo para pequenas empresas,8100,2,organic,Emprestimo para pequenas empresas - como fazer em 2026,,20,11,both,-477,14
pagsfera.com.br,https://pagsfera.com.br/link-de-pagamento,2082,498464,26,link de pagamento,8900,2,organic,Tudo sobre Link de pagamento,,25,25,both,1495,-4
financasclaras.blog.br,https://financasclaras.blog.br/blog/google-meu-negocio-como-criar-passo-a-passo,1862,34061,20,google meu negocio como criar passo a passo,3509,1,organic,Google meu negocio como criar passo a passo: 7 dicas praticas,,14,4,both,723,23
dinheirocerto.com.br,https://dinheirocerto.com.br/ferramentas/calculadora-de-idade,1789,1707,41,calculadora de idade,6600,2,organic,Calculadora de idade: guia completo,,21,13,both,655,23
bancoquantum.com.br,https://bancoquantum.com.br/boleto,1783,11932,25,boleto bancario,15000,5,organic,O que e Boleto bancario e como usar,,22,9,both,-47,1
bancoquantum.com.br,https://bancoquantum.com.br/empresas/capital-de-giro,1755,78565,13,capital de giro,7700,3,organic,Capital de giro: passo a passo,,25,22,both,1333,24
contazen.com.br,https://contazen.com.br/blog/abrir-mei,1719,25405,13,como abrir mei,33000,6,organic,Como abrir mei: passo a passo,,17,4,both,657,23
contadorexpress.com.br,https://contadorexpress.com.br/ferramentas/gerador-cnpj,1713,7100,41,gerador de cnpj,9600,3,organic,Tudo sobre Gerador de cnpj,/Interactive_Tools/Calculator,24,26,both,-247,21
giroloja.com.br,https://giroloja.com.br/blog/como-precificar-um-produto,1638,22870,20,como precificar um produto,4100,1,organic,Como precificar um produto | Giroloja,/Article/How_to,14,6,both,722,5
lojafacil.com.br,https://lojafacil.com.br/ferramentas/gerador-de-nomes,1578,10358,34,nome para loja,4300,2,organic,Tudo sobre Nome para loja,/Interactive_Tools/Calculator,6,0,both,660,34
giroloja.com.br,https://giroloja.com.br/blog/controle-de-estoque,1526,39187,21,controle de estoque,9800,3,organic,Tudo sobre Controle de estoque,,17,7,both,1097,-4
vendamais.com.br,https://vendamais.com.br/ferramentas/gerador-de-senha,1512,3157,48,gerador de senha,9100,3,organic,O que e Gerador de senha e como usar,/Interactive_Tools/Calculator,29,48,both,509,17
vendamais.com.br,https://vendamais.com.br/ferramentas/contador-caracteres,1509,1711,39,contador de caracteres,18000,4,organic,Contador de caracteres: 7 dicas praticas,/Interactive_Tools/Calculator,15,3,both,-97,4
dinheirocerto.com.br,https://dinheirocerto.com.br/calculadoras/inss,1473,7003,39,calculadora inss,6100,3,organic,Calculadora inss - como fazer em 2026,/Interactive_Tools/Calculator,32,85,both,1291,5
maquinacerta.net,https://maquinacerta.net/pagsfera-taxas,1417,55099,42,pagsfera taxas,8700,4,organic,Pagsfera taxas: 7 dicas praticas,,4,0,left,655,-8
bancoquantum.com.br,https://bancoquantum.com.br/empresas/conta-pj,1410,74318,55,conta pj gratuita,8900,2,organic,Conta pj gratuita | Bancoquantum,,23,20,both,-292,24
financasclaras.blog.br,https://financasclaras.blog.br/blog/juros-compostos-formula-gratis,1397,29276,41,juros compostos formula gratis,5494,2,organic,O que e Juros compostos formula gratis e como usar,,8,1,both,583,18
contazen.com.br,https://contazen.com.br/blog/mei-pode-emitir-nota-para-pessoa-fisica-passo-,1382,24968,21,mei pode emitir nota para pessoa fisica passo a passo,2529,1,organic,Mei pode emitir nota para pessoa fisica passo a passo | Contazen,/Article/How_to,26,28,both,257,17
dinheirocerto.com.br,https://dinheirocerto.com.br/ferramentas/regra-de-tres,1378,1787,43,calculadora de regra de tres,12000,3,organic,Calculadora de regra de tres: 7 dicas praticas,,34,90,both,-306,-3
contazen.com.br,https://contazen.com.br/blog/fluxo-de-caixa,1371,34563,33,fluxo de caixa,8200,2,organic,Fluxo de caixa - Contazen,,24,21,both,4,21
maquinacerta.net,https://maquinacerta.net/blog/maquininha-sem-mensalidade,1328,10537,33,maquininha sem mensalidade,6512,2,organic,Maquininha sem mensalidade: guia completo,,4,0,both,663,-9
pagsfera.com.br,https://pagsfera.com.br/blog/boleto-hibrido-gratis,1318,54877,22,boleto hibrido gratis,2675,1,organic,Boleto hibrido gratis - como fazer em 2026,,24,19,both,-111,33
nexopay.com.br,https://nexopay.com.br/blog/pix-agendado-gratis,1296,13739,21,pix agendado gratis,9090,3,organic,Pix agendado gratis: passo a passo,,17,8,both,542,6
lojafacil.com.br,https://lojafacil.com.br/blog/precificacao-de-produtos,1287,38349,23,precificacao de produtos,3900,2,organic,Precificacao de produtos: 7 dicas praticas,/Article/How_to,23,18,both,1050,15
nexopay.com.br,https://nexopay.com.br/cobranca-recorrente,1248,74660,16,cobranca recorrente,4100,2,organic,Tudo sobre Cobranca recorrente,,12,3,left,-288,13
credlink.com.br,https://credlink.com.br/blog/credito-com-garantia-de-recebiveis,1243,42738,29,credito com garantia de recebiveis,3353,2,organic,Credito com garantia de recebiveis: guia completo,,19,11,both,1074,-5
financasclaras.blog.br,https://financasclaras.blog.br/blog/como-sair-do-vermelho-simples,1191,61467,36,como sair do vermelho simples,3755,2,organic,Tudo sobre Como sair do vermelho simples,,8,3,both,1069,23
bancoquantum.com.br,https://bancoquantum.com.br/blog/bandeira-do-cartao-como-funciona,1151,41699,16,bandeira do cartao como funciona,3983,2,organic,Bandeira do cartao como funciona: guia completo,/Article/How_to,26,28,both,210,29
dinheirocerto.com.br,https://dinheirocerto.com.br/blog/cdb-ou-tesouro-direto-passo-a-passo,1109,26529,46,cdb ou tesouro direto passo a passo,2406,1,organic,Cdb ou tesouro direto passo a passo: 7 dicas praticas,,12,2,both,651,29
vendamais.com.br,https://vendamais.com.br/ferramentas/sorteador-de-nomes,1103,2862,18,sorteador de nomes,5200,2,organic,Sorteador de nomes - como fazer em 2026,/Interactive_Tools/Calculator,26,36,both,103,6
bancoquantum.com.br,https://bancoquantum.com.br/blog/pix-internacional-passo-a-passo,1103,51083,46,pix internacional passo a passo,8418,4,organic,Pix internacional passo a passo | Bancoquantum,/Article/How_to,20,6,left,706,2
credlink.com.br,https://credlink.com.br/blog/factoring-o-que-e,1082,10443,38,factoring o que e,3746,3,organic,Factoring o que e - Credlink,/Article/How_to,17,7,both,218,-1
contadorexpress.com.br,https://contadorexpress.com.br/blog/substituicao-tributaria-como-funciona,1072,31742,45,substituicao tributaria como funciona,1463,1,organic,Substituicao tributaria como funciona | Contadorexpress,,8,0,both,927,30
bancoaurora.com.br,https://bancoaurora.com.br/empresas,1063,34358,58,conta digital para empresa,9700,3,organic,Conta digital para empresa: 7 dicas praticas,,11,1,both,694,32
giroloja.com.br,https://giroloja.com.br/blog/precificacao,1042,37094,35,precificacao,14800,6,organic,Precificacao - Giroloja,/Article/How_to,12,3,both,31,16
giroloja.com.br,https://giroloja.com.br/materiais/planilha-de-vendas,1012,9186,51,planilha de vendas,2900,2,organic,Planilha de vendas | Giroloja,/Document/Template,21,12,both,0,11
financasclaras.blog.br,https://financasclaras.blog.br/blog/cdb-ou-tesouro-direto-passo-a-passo,982,48361,12,cdb ou tesouro direto passo a passo,2406,1,organic,Cdb ou tesouro direto passo a passo | Financasclaras,/Article/How_to,11,2,left,362,10
pagsfera.com.br,https://pagsfera.com.br/antecipacao,912,44415,37,antecipacao de recebiveis,4800,3,organic,Antecipacao de recebiveis: passo a passo,,25,24,both,586,9
lojafacil.com.br,https://lojafacil.com.br/ferramentas/nomes-aleatorios,911,2433,17,gerador de nomes aleatorios,8300,6,organic,Gerador de nomes aleatorios | Lojafacil,/Interactive_Tools/Calculator,17,6,both,791,-4
contazen.com.br,https://contazen.com.br/blog/giro-de-estoque,903,1486,20,giro de estoque,4959,3,organic,Giro de estoque - como fazer em 2026,/Article/How_to,21,14,both,225,20
maquinacerta.net,https://maquinacerta.net/simulador-taxas,899,42427,33,simulador de taxas maquininha,3400,2,organic,O que e Simulador de taxas maquininha e como usar,,4,0,both,-2,21
infinitepay.io,https://infinitepay.io/conta-pj,870,25364,24,conta pj gratuita,8900,6,organic,Tudo sobre Conta pj gratuita,,19,7,both,-60,-7
vendamais.com.br,https://vendamais.com.br/blog/como-criar-loja-virtual,861,26706,46,como criar loja virtual,7100,4,organic,Como criar loja virtual - como fazer em 2026,,19,8,both,114,4
infinitepay.io,https://infinitepay.io/blog/qr-code-pix,857,1632,34,qr code pix,18000,8,organic,Qr code pix: 7 dicas praticas,,17,6,left,115,24
nexopay.com.br,https://nexopay.com.br/modelos/recibo,857,2910,12,recibo de pagamento modelo,3100,3,organic,Recibo de pagamento modelo: guia completo,/Document/Template,17,12,both,580,0
contadorexpress.com.br,https://contadorexpress.com.br/blog/markup-o-que-e,840,1941,10,markup,9900,7,organic,Markup | Contadorexpress,,14,4,both,-45,0
maquinacerta.net,https://maquinacerta.net/comparar-taxas,813,24981,38,comparar taxas maquininha,1900,1,organic,Comparar taxas maquininha: passo a passo,,3,0,both,454,-2
contadorexpress.com.br,https://contadorexpress.com.br/modelos/contrato-prestacao-servico,792,6723,54,contrato de prestacao de servico,5600,4,organic,Contrato de prestacao de servico: guia completo,,11,2,left,139,3
infinitepay.io,https://infinitepay.io/materiais/criador-de-logo,770,6681,40,criar logo gratis,6900,6,organic,Criar logo gratis - como fazer em 2026,/Document/Template,25,12,both,391,-5
contazen.com.br,https://contazen.com.br/blog/substituicao-tributaria-como-funciona,754,27979,40,substituicao tributaria como funciona,1463,1,organic,Substituicao tributaria como funciona: passo a passo,/Article/How_to,21,10,both,231,0
bancoaurora.com.br,https://bancoaurora.com.br/cartao-corporativo,753,32647,38,cartao corporativo,7400,4,organic,Cartao corporativo - Bancoaurora,,18,5,left,589,21
bancoquantum.com.br,https://bancoquantum.com.br/blog/juros-compostos-formula-gratis,709,8734,9,juros compostos formula gratis,5494,5,organic,Juros compostos formula gratis - Bancoquantum,,12,1,both,394,-7
financasclaras.blog.br,https://financasclaras.blog.br/conversor-moeda,692,3268,39,conversor de moeda,27000,9,organic,Conversor de moeda - como fazer em 2026,,10,2,both,545,11
lojafacil.com.br,https://lojafacil.com.br/ferramentas/criador-de-logo,669,9329,24,criar logo gratis,6900,4,organic,Tudo sobre Criar logo gratis,/Interactive_Tools/Calculator,14,2,both,-110,-3
giroloja.com.br,https://giroloja.com.br/materiais/planilha-fluxo-de-caixa,657,9599,28,fluxo de caixa,8200,6,organic,Fluxo de caixa: 7 dicas praticas,,19,11,left,17,26
vendamais.com.br,https://vendamais.com.br/ferramentas/link-pagamento,637,179157,16,link de pagamento,8900,6,organic,Link de pagamento | Vendamais,/Interactive_Tools/Calculator,22,12,both,231,22
vendamais.com.br,https://vendamais.com.br/blog/google-meu-negocio-como-criar-passo-a-passo,629,13862,25,google meu negocio como criar passo a passo,3509,3,organic,Google meu negocio como criar passo a passo: 7 dicas praticas,,22,13,both,-84,31
taxaja.com.br,https://taxaja.com.br/taxas-cartao,608,17559,33,taxa de cartao de credito,6400,4,organic,Taxa de cartao de credito: passo a passo,,5,0,both,43,-3
contadorexpress.com.br,https://contadorexpress.com.br/blog/quanto-cobrar-por-unha,605,1088,35,quanto cobrar por unha,3100,2,organic,Quanto cobrar por unha: passo a passo,/Article/How_to,18,9,both,328,-2
bancoquantum.com.br,https://bancoquantum.com.br/blog/como-sair-do-vermelho-simples,557,28825,18,como sair do vermelho simples,3755,4,organic,Tudo sobre Como sair do vermelho simples,/Article/How_to,19,5,both,30,11
nexopay.com.br,https://nexopay.com.br/blog/segunda-via-boleto,549,8000,52,segunda via boleto,5482,4,organic,Segunda via boleto: guia completo,,13,3,both,0,-1
vendamais.com.br,https://vendamais.com.br/blog/controle-estoque,541,13818,18,controle de estoque,9800,7,organic,Controle de estoque: 7 dicas praticas,/Article/How_to,20,9,both,77,10
nexopay.com.br,https://nexopay.com.br/blog/split-de-pagamento,517,31831,35,split de pagamento como funciona,1900,2,organic,Split de pagamento como funciona: passo a passo,,12,1,left,390,18
taxaja.com.br,https://taxaja.com.br/ranking,512,21271,11,qual a melhor maquininha,7300,7,organic,O que e Qual a melhor maquininha e como usar,,7,1,left,443,31
contadorexpress.com.br,https://contadorexpress.com.br/blog/cfop-tabela-vale-a-pena,497,15416,19,cfop tabela vale a pena,3116,4,organic,Cfop tabela vale a pena - Contadorexpress,,16,5,both,309,20
giroloja.com.br,https://giroloja.com.br/blog/inventario-de-estoque-gratis,495,6760,45,inventario de estoque gratis,5293,5,organic,O que e Inventario de estoque gratis e como usar,/Article/How_to,13,3,left,123,33
contazen.com.br,https://contazen.com.br/blog/mei-paga-inss-como-funciona,493,10508,19,mei paga inss como funciona,2832,3,organic,Tudo sobre Mei paga inss como funciona,/Article/How_to,24,17,both,-30,29
nexopay.com.br,https://nexopay.com.br/blog/boleto-vencido-posso-pagar-vale-a-pena,463,2587,26,boleto vencido posso pagar vale a pena,4096,5,organic,Tudo sobre Boleto vencido posso pagar vale a pena,/Article/How_to,8,1,both,385,2
pagsfera.com.br,https://pagsfera.com.br/blog/taxa-cartao,449,21352,38,taxa de cartao de credito,6400,6,organic,Taxa de cartao de credito - como fazer em 2026,/Article/How_to,21,11,both,207,9
contazen.com.br,https://contazen.com.br/blog/inventario-de-estoque-simples,446,12111,53,inventario de estoque simples,4710,5,organic,Inventario de estoque simples - como fazer em 2026,,23,11,left,26,-4
infinitepay.io,https://infinitepay.io/antecipacao-de-recebiveis,441,17243,27,antecipacao de recebiveis,4800,5,organic,Antecipacao de recebiveis: passo a passo,,17,7,both,185,30
credlink.com.br,https://credlink.com.br/blog/antecipacao-como-funciona,433,21354,14,antecipacao de recebiveis como funciona,3900,3,organic,Antecipacao de recebiveis como funciona - como fazer em 2026,,20,17,both,-4,2
nexopay.com.br,https://nexopay.com.br/blog/chave-pix-aleatoria-vale-a-pena,421,12549,59,chave pix aleatoria vale a pena,2466,2,organic,Chave pix aleatoria vale a pena: passo a passo,/Article/How_to,18,9,both,61,18
giroloja.com.br,https://giroloja.com.br/blog/abandono-de-carrinho-gratis,421,1496,32,abandono de carrinho gratis,2829,4,organic,Abandono de carrinho gratis | Giroloja,,13,3,both,341,-1
pagsfera.com.br,https://pagsfera.com.br/blog/anuidade-cartao-2026,417,2234,53,anuidade cartao 2026,4304,4,organic,Anuidade cartao 2026: guia completo,,19,9,both,295,32
credlink.com.br,https://credlink.com.br/blog/analise-de-credito-pj,412,20545,44,analise de credito pj,3765,5,organic,Tudo sobre Analise de credito pj,,18,7,both,366,5
pagsfera.com.br,https://pagsfera.com.br/blog/maquininha-com-chip-ou-wifi-o-que-e,402,10731,25,maquininha com chip ou wifi o que e,811,1,organic,Maquininha com chip ou wifi o que e - como fazer em 2026,/Article/How_to,25,26,both,311,30
bancoaurora.com.br,https://bancoaurora.com.br/blog/folha-de-pagamento,394,8065,23,folha de pagamento como funciona,5200,5,organic,Folha de pagamento como funciona: guia completo,,14,1,both,197,-2
credlink.com.br,https://credlink.com.br/blog/antecipar-recebiveis-cartao,392,23419,17,antecipar recebiveis cartao,3637,5,organic,Antecipar recebiveis cartao: passo a passo,/Article/How_to,17,7,both,152,14
contadorexpress.com.br,https://contadorexpress.com.br/calculadoras/horas-extras,382,742,40,calculadora horas extras,8800,8,organic,O que e Calculadora horas extras e como usar,/Interactive_Tools/Calculator,7,0,left,-65,27
pagsfera.com.br,https://pagsfera.com.br/blog/pix-internacional-como-funciona,377,9578,54,pix internacional como funciona,5745,9,organic,Pix internacional como funciona: passo a passo,/Article/How_to,19,8,both,184,7
financasclaras.blog.br,https://financasclaras.blog.br/blog/mei-aposentadoria-passo-a-passo,376,8282,46,mei aposentadoria passo a passo,5519,7,organic,Mei aposentadoria passo a passo - como fazer em 2026,/Article/How_to,9,1,both,-63,20
financasclaras.blog.br,https://financasclaras.blog.br/como-calcular-ponto-de-equilibrio,358,1964,38,como calcular ponto de equilibrio,2600,4,organic,Como calcular ponto de equilibrio - Financasclaras,,9,1,both,205,15
bancoquantum.com.br,https://bancoquantum.com.br/blog/anuidade-cartao-2026,357,1786,6,anuidade cartao 2026,4304,7,organic,Anuidade cartao 2026 | Bancoquantum,/Article/How_to,21,9,both,204,13
bancoquantum.com.br,https://bancoquantum.com.br/blog/boleto-vencido-posso-pagar-vale-a-pena,353,2706,21,boleto vencido posso pagar vale a pena,4096,7,organic,Tudo sobre Boleto vencido posso pagar vale a pena,/Article/How_to,20,8,left,256,-1
contazen.com.br,https://contazen.com.br/blog/mei-limite-de-faturamento-gratis,329,2300,17,mei limite de faturamento gratis,1026,1,organic,Mei limite de faturamento gratis - Contazen,/Article/How_to,25,21,both,144,10
contazen.com.br,https://contazen.com.br/blog/substituicao-tributaria-o-que-e,327,8218,51,substituicao tributaria o que e,1000,2,organic,Substituicao tributaria o que e - como fazer em 2026,/Article/How_to,21,10,both,-42,29
infinitepay.io,https://infinitepay.io/blog/como-gerar-boleto,321,2032,44,como gerar boleto,11000,12,organic,Como gerar boleto: 7 dicas praticas,/Article/How_to,11,1,both,3,1
contadorexpress.com.br,https://contadorexpress.com.br/blog/mei-pode-ter-funcionario,321,2401,39,mei pode ter funcionario,974,2,organic,Mei pode ter funcionario | Contadorexpress,,12,3,both,135,-7
taxaja.com.br,https://taxaja.com.br/blog/chargeback-o-que-e-simples,319,2090,14,chargeback o que e simples,2304,3,organic,Chargeback o que e simples: 7 dicas praticas,,9,2,both,61,34
lojafacil.com.br,https://lojafacil.com.br/blog/como-calcular-preco-de-venda,317,1397,14,como calcular preco de venda,880,2,organic,Como calcular preco de venda: guia completo,,21,13,both,-58,34
contazen.com.br,https://contazen.com.br/blog/margem-de-contribuicao,316,2387,46,margem de contribuicao,2400,4,organic,Tudo sobre Margem de contribuicao,,17,5,both,-36,23
giroloja.com.br,https://giroloja.com.br/blog/prazo-medio-de-recebimento-gratis,298,396,45,prazo medio de recebimento gratis,637,1,organic,Prazo medio de recebimento gratis: guia completo,,19,9,both,230,19
maquinacerta.net,https://maquinacerta.net/blog/maquininha-com-chip-ou-wifi-o-que-e,298,6317,17,maquininha com chip ou wifi o que e,811,1,organic,Maquininha com chip ou wifi o que e - como fazer em 2026,,8,1,both,-52,-6
bancoaurora.com.br,https://bancoaurora.com.br/blog/pix-para-cnpj,295,4359,32,pix para cnpj,1206,2,organic,Tudo sobre Pix para cnpj,,25,22,both,187,-1
nexopay.com.br,https://nexopay.com.br/blog/limite-pix-noturno-o-que-e,289,191,16,limite pix noturno o que e,1233,1,organic,Limite pix noturno o que e: passo a passo,,20,8,both,65,17
