domain,keyword,volume,keyword_difficulty,cpc,sum_traffic,best_position,best_position_kind,best_position_url,is_branded,is_commercial,is_informational,is_navigational,is_transactional,is_local,serp_features,words,status
dinheirocerto.com.br,calculadora de rescisao,21000,51,9,3207,2,organic,https://dinheirocerto.com.br/calculadoras/rescisao,False,False,True,False,True,False,,3,both
vendamais.com.br,vendamais login,12000,2,3,3166,1,organic,https://vendamais.com.br/login,True,False,False,True,False,False,,2,left
contadorexpress.com.br,das mei valor,19000,27,4,3039,2,organic,https://contadorexpress.com.br/blog/das-mei,False,False,True,False,False,False,,3,left
pagsfera.com.br,pagsfera taxas,8700,11,45,2902,1,organic,https://pagsfera.com.br/taxas,True,True,False,False,False,False,,2,left
dinheirocerto.com.br,calculadora horas extras,8800,39,3,2843,1,organic,https://dinheirocerto.com.br/calculadoras/horas-extras,False,False,True,False,True,False,,3,both
infinitepay.io,maquininha de cartao,40000,41,58,2710,4,organic,https://infinitepay.io/maquininha,False,True,True,False,False,False,,3,both
lojafacil.com.br,editor de imagem online,16000,4,6,2618,2,organic,https://lojafacil.com.br/ferramentas/editor-imagem,False,False,True,False,True,False,,4,both
nexopay.com.br,boleto bancario,15000,26,7,2360,2,organic,https://nexopay.com.br/blog/boleto-bancario,False,False,True,False,False,False,,2,both
contadorexpress.com.br,simples nacional tabela,24000,38,8,2300,3,organic,https://contadorexpress.com.br/blog/simples-nacional,False,False,True,False,False,False,,3,left
bancoaurora.com.br,aurora login,11000,3,4,2294,1,organic,https://bancoaurora.com.br/login,True,False,False,True,False,False,,2,both
dinheirocerto.com.br,calculadora imc,41000,4,1,2155,4,organic,https://dinheirocerto.com.br/ferramentas/imc,False,False,True,False,True,False,snippet,2,both
dinheirocerto.com.br,calculadora fgts,12000,44,3,2051,2,organic,https://dinheirocerto.com.br/calculadoras/fgts,False,False,True,False,True,False,,2,both
contadorexpress.com.br,como abrir mei,33000,34,11,2048,4,organic,https://contadorexpress.com.br/blog/como-abrir-mei,False,False,True,False,False,False,,3,both
dinheirocerto.com.br,conversor de unidades,11000,3,2,1956,2,organic,https://dinheirocerto.com.br/ferramentas/unidades,False,False,True,False,True,False,,3,both
contadorexpress.com.br,calculadora de ferias,42000,48,5,1819,6,organic,https://contadorexpress.com.br/calculadoras/ferias,False,False,True,False,True,False,,3,both
credlink.com.br,credlink login,4900,3,5,1748,1,organic,https://credlink.com.br/portal/login,True,False,False,True,False,False,snippet,2,both
credlink.com.br,credlink antecipacao,6800,6,52,1661,1,organic,https://credlink.com.br/antecipacao,True,True,False,False,False,False,snippet,2,both
bancoquantum.com.br,qr code pix,18000,12,3,1610,3,organic,https://bancoquantum.com.br/pix/qr-code,False,False,True,False,True,False,snippet,3,left
contadorexpress.com.br,como emitir nota fiscal mei,12000,18,9,1587,2,organic,https://contadorexpress.com.br/blog/nota-fiscal-mei,False,False,True,False,False,False,,5,both
financasclaras.blog.br,markup,9900,3,2,1549,2,organic,https://financasclaras.blog.br/markup,False,False,True,False,False,False,,1,both
credlink.com.br,emprestimo para pequenas empresas,8100,42,71,1533,2,organic,https://credlink.com.br/emprestimo-pj,False,True,True,False,False,False,,4,both
pagsfera.com.br,portal do cliente pagsfera,6800,5,6,1461,1,organic,https://pagsfera.com.br/portal/login,True,False,False,True,False,False,snippet,4,both
contazen.com.br,como abrir mei,33000,34,11,1290,6,organic,https://contazen.com.br/blog/abrir-mei,False,False,True,False,False,False,,3,both
lojafacil.com.br,como criar loja virtual,7100,36,28,1272,2,organic,https://lojafacil.com.br/blog/criar-loja-virtual,False,True,True,False,False,False,,4,both
lojafacil.com.br,precificacao,14800,7,35,1257,3,organic,https://lojafacil.com.br/blog/precificacao-o-que-e,False,True,True,False,False,False,snippet,1,both
contazen.com.br,calculadora de rescisao,21000,51,9,1243,5,organic,https://contazen.com.br/calculadoras/rescisao,False,False,True,False,True,False,,3,both
contazen.com.br,simples nacional tabela,24000,38,8,1218,5,organic,https://contazen.com.br/blog/tabela-simples-nacional,False,False,True,False,False,False,,3,left
maquinacerta.net,maquininha sem mensalidade,6512,37,8,1147,2,organic,https://maquinacerta.net/blog/maquininha-sem-mensalidade,False,False,True,False,False,False,,3,both
vendamais.com.br,gerador de cpf,14000,1,2,1112,4,organic,https://vendamais.com.br/ferramentas/gerador-cpf,False,False,True,False,True,False,snippet,3,left
bancoquantum.com.br,conta pj gratuita,8900,35,41,1110,2,organic,https://bancoquantum.com.br/empresas/conta-pj,False,True,True,False,True,False,,3,both
nexopay.com.br,pix agendado gratis,9090,24,17,1098,3,organic,https://nexopay.com.br/blog/pix-agendado-gratis,False,False,True,False,False,False,,3,both
maquinacerta.net,maquininha pagsfera,52000,8,60,1075,8,organic,https://maquinacerta.net/pagsfera,True,True,False,False,False,False,,2,both
dinheirocerto.com.br,calculadora de idade,6600,1,1,1052,2,organic,https://dinheirocerto.com.br/ferramentas/calculadora-de-idade,False,False,True,False,True,False,snippet,3,both
pagsfera.com.br,link de pagamento,8900,14,210,1033,2,organic,https://pagsfera.com.br/link-de-pagamento,True,True,True,False,True,False,,3,both
financasclaras.blog.br,google meu negocio como criar passo a passo,3509,40,20,1010,1,organic,https://financasclaras.blog.br/blog/google-meu-negocio-como-criar-passo-a-passo,False,False,True,False,True,False,,8,both
dinheirocerto.com.br,calculadora de regra de tres,12000,2,1,1007,3,organic,https://dinheirocerto.com.br/ferramentas/regra-de-tres,False,False,True,False,True,False,,5,both
contadorexpress.com.br,gerador de cnpj,9600,1,3,1003,3,organic,https://contadorexpress.com.br/ferramentas/gerador-cnpj,False,False,True,False,True,False,,3,both
contazen.com.br,fluxo de caixa,8200,31,19,992,2,organic,https://contazen.com.br/blog/fluxo-de-caixa,False,False,True,False,False,False,,3,both
giroloja.com.br,como precificar um produto,4100,2,10,974,1,organic,https://giroloja.com.br/blog/como-precificar-um-produto,False,True,True,False,False,False,,4,both
vendamais.com.br,gerador de senha,9100,1,2,963,3,organic,https://vendamais.com.br/ferramentas/gerador-de-senha,False,False,True,False,True,False,snippet,3,both
vendamais.com.br,contador de caracteres,18000,1,1,914,4,organic,https://vendamais.com.br/ferramentas/contador-caracteres,False,False,True,False,True,False,,3,both
lojafacil.com.br,google meu negocio como criar o que e,3247,19,11,884,1,organic,https://lojafacil.com.br/blog/google-meu-negocio-como-criar-o-que-e,False,False,True,False,True,False,,8,both
bancoquantum.com.br,boleto bancario,15000,26,7,880,5,organic,https://bancoquantum.com.br/boleto,False,False,True,False,False,False,,2,both
pagsfera.com.br,boleto hibrido gratis,2675,14,36,873,1,organic,https://pagsfera.com.br/blog/boleto-hibrido-gratis,False,False,True,False,True,False,,3,both
maquinacerta.net,qual a melhor maquininha,7300,22,52,843,3,organic,https://maquinacerta.net/melhor-maquininha,False,True,True,False,False,False,,4,left
giroloja.com.br,controle de estoque,9800,29,22,827,3,organic,https://giroloja.com.br/blog/controle-de-estoque,False,True,True,False,False,False,,3,both
financasclaras.blog.br,juros compostos formula gratis,5494,19,18,823,2,organic,https://financasclaras.blog.br/blog/juros-compostos-formula-gratis,False,True,True,False,False,False,,4,both
nexopay.com.br,gateway de pagamento,6600,31,63,792,3,organic,https://nexopay.com.br/,False,True,True,False,False,False,,3,both
maquinacerta.net,pagsfera taxas,8700,11,45,730,4,organic,https://maquinacerta.net/pagsfera-taxas,True,True,False,False,False,False,,2,left
bancoaurora.com.br,conta digital para empresa,9700,37,44,728,3,organic,https://bancoaurora.com.br/empresas,False,True,True,False,False,False,,4,both
maquinacerta.net,maquininha de cartao,40000,41,58,722,9,organic,https://maquinacerta.net/melhor-maquininha,False,True,True,False,False,False,,3,both
bancoquantum.com.br,capital de giro,7700,30,33,713,3,organic,https://bancoquantum.com.br/empresas/capital-de-giro,False,True,True,False,False,False,,3,both
dinheirocerto.com.br,cdb ou tesouro direto passo a passo,2406,33,39,695,1,organic,https://dinheirocerto.com.br/blog/cdb-ou-tesouro-direto-passo-a-passo,False,False,True,False,True,False,,7,both
financasclaras.blog.br,cdb ou tesouro direto passo a passo,2406,33,39,678,1,organic,https://financasclaras.blog.br/blog/cdb-ou-tesouro-direto-passo-a-passo,False,False,True,False,True,False,,7,left
bancoquantum.com.br,pix internacional passo a passo,8418,45,39,662,4,organic,https://bancoquantum.com.br/blog/pix-internacional-passo-a-passo,False,False,True,False,False,False,,5,left
lojafacil.com.br,nome para loja,4300,8,5,631,2,organic,https://lojafacil.com.br/ferramentas/gerador-de-nomes,False,False,True,False,False,False,,3,both
dinheirocerto.com.br,calculadora inss,6100,41,4,628,3,organic,https://dinheirocerto.com.br/calculadoras/inss,False,False,True,False,True,False,,2,both
contazen.com.br,mei pode emitir nota para pessoa fisica passo a passo,2529,38,21,615,1,organic,https://contazen.com.br/blog/mei-pode-emitir-nota-para-pessoa-fisica-passo-,False,False,True,False,False,False,,10,both
lojafacil.com.br,precificacao de produtos,3900,4,25,603,2,organic,https://lojafacil.com.br/blog/precificacao-de-produtos,False,True,True,False,False,False,snippet,3,both
vendamais.com.br,sorteador de nomes,5200,2,2,598,2,organic,https://vendamais.com.br/ferramentas/sorteador-de-nomes,False,False,True,False,True,False,,3,both
nexopay.com.br,cobranca recorrente,4100,26,58,595,2,organic,https://nexopay.com.br/cobranca-recorrente,False,True,True,False,False,False,,2,left
vendamais.com.br,como criar loja virtual,7100,36,28,587,4,organic,https://vendamais.com.br/blog/como-criar-loja-virtual,False,True,True,False,False,False,,4,both
financasclaras.blog.br,conversor de moeda,27000,3,4,580,9,organic,https://financasclaras.blog.br/conversor-moeda,False,False,True,False,True,False,,3,both
maquinacerta.net,comparar taxas maquininha,1900,7,48,566,1,organic,https://maquinacerta.net/comparar-taxas,False,True,True,False,False,False,snippet,3,both
giroloja.com.br,planilha de vendas,2900,9,7,556,2,organic,https://giroloja.com.br/materiais/planilha-de-vendas,False,False,True,False,True,False,snippet,3,both
contazen.com.br,giro de estoque,4959,37,2,534,3,organic,https://contazen.com.br/blog/giro-de-estoque,False,False,True,False,False,False,,3,both
credlink.com.br,credito com garantia de recebiveis,3353,57,51,533,2,organic,https://credlink.com.br/blog/credito-com-garantia-de-recebiveis,False,True,True,False,False,False,,5,both
taxaja.com.br,taxa de cartao de credito,6400,23,38,511,4,organic,https://taxaja.com.br/taxas-cartao,False,True,True,False,False,False,,5,both
financasclaras.blog.br,como sair do vermelho simples,3755,30,37,479,2,organic,https://financasclaras.blog.br/blog/como-sair-do-vermelho-simples,False,False,True,False,False,False,,5,both
pagsfera.com.br,antecipacao de recebiveis,4800,33,44,466,3,organic,https://pagsfera.com.br/antecipacao,False,True,True,False,False,False,,3,both
bancoquantum.com.br,bandeira do cartao como funciona,3983,17,27,458,2,organic,https://bancoquantum.com.br/blog/bandeira-do-cartao-como-funciona,False,False,True,False,False,False,,5,both
giroloja.com.br,precificacao,14800,7,35,456,6,organic,https://giroloja.com.br/blog/precificacao,False,True,True,False,False,False,,1,both
lojafacil.com.br,criar logo gratis,6900,19,14,453,4,organic,https://lojafacil.com.br/ferramentas/criador-de-logo,False,False,True,False,True,False,,3,both
bancoaurora.com.br,cartao corporativo,7400,33,36,426,4,organic,https://bancoaurora.com.br/cartao-corporativo,False,True,True,False,False,False,,2,left
contadorexpress.com.br,contrato de prestacao de servico,5600,24,12,422,4,organic,https://contadorexpress.com.br/modelos/contrato-prestacao-servico,False,False,True,False,True,False,,5,left
contadorexpress.com.br,substituicao tributaria como funciona,1463,14,30,422,1,organic,https://contadorexpress.com.br/blog/substituicao-tributaria-como-funciona,False,False,True,False,False,False,snippet,4,both
credlink.com.br,factoring o que e,3746,30,11,421,3,organic,https://credlink.com.br/blog/factoring-o-que-e,False,True,True,False,False,False,,4,both
maquinacerta.net,simulador de taxas maquininha,3400,9,55,407,2,organic,https://maquinacerta.net/simulador-taxas,False,True,True,False,True,False,snippet,4,both
infinitepay.io,conta pj gratuita,8900,35,41,405,6,organic,https://infinitepay.io/conta-pj,False,True,True,False,True,False,,3,both
lojafacil.com.br,gerador de nomes aleatorios,8300,1,2,384,6,organic,https://lojafacil.com.br/ferramentas/nomes-aleatorios,False,False,True,False,True,False,,4,both
infinitepay.io,qr code pix,18000,12,3,370,8,organic,https://infinitepay.io/blog/qr-code-pix,False,False,True,False,True,False,snippet,3,left
contadorexpress.com.br,markup,9900,3,2,360,7,organic,https://contadorexpress.com.br/blog/markup-o-que-e,False,False,True,False,False,False,snippet,1,both
contadorexpress.com.br,quanto cobrar por unha,3100,8,2,359,2,organic,https://contadorexpress.com.br/blog/quanto-cobrar-por-unha,False,False,True,False,False,False,snippet,4,both
nexopay.com.br,recibo de pagamento modelo,3100,11,3,355,3,organic,https://nexopay.com.br/modelos/recibo,False,False,True,False,True,False,snippet,4,both
nexopay.com.br,chave pix aleatoria vale a pena,2466,26,36,355,2,organic,https://nexopay.com.br/blog/chave-pix-aleatoria-vale-a-pena,False,True,True,False,False,False,,6,both
giroloja.com.br,fluxo de caixa,8200,31,19,344,6,organic,https://giroloja.com.br/materiais/planilha-fluxo-de-caixa,False,False,True,False,False,False,,3,left
credlink.com.br,antecipacao de recebiveis como funciona,3900,24,47,341,3,organic,https://credlink.com.br/blog/antecipacao-como-funciona,False,False,True,False,False,False,,5,both
nexopay.com.br,segunda via boleto,5482,37,20,340,4,organic,https://nexopay.com.br/blog/segunda-via-boleto,False,False,True,False,False,False,,3,both
contazen.com.br,substituicao tributaria como funciona,1463,14,30,339,1,organic,https://contazen.com.br/blog/substituicao-tributaria-como-funciona,False,False,True,False,False,False,snippet,4,both
pagsfera.com.br,anuidade cartao 2026,4304,18,4,326,4,organic,https://pagsfera.com.br/blog/anuidade-cartao-2026,False,False,True,False,False,False,,3,both
infinitepay.io,criar logo gratis,6900,19,14,325,6,organic,https://infinitepay.io/materiais/criador-de-logo,False,False,True,False,True,False,,3,both
vendamais.com.br,link de pagamento,8900,14,210,302,6,organic,https://vendamais.com.br/ferramentas/link-pagamento,True,True,True,False,True,False,,3,both
contazen.com.br,inventario de estoque simples,4710,26,36,287,5,organic,https://contazen.com.br/blog/inventario-de-estoque-simples,False,False,True,False,False,False,,4,left
nexopay.com.br,split de pagamento como funciona,1900,17,49,284,2,organic,https://nexopay.com.br/blog/split-de-pagamento,False,False,True,False,False,False,,5,left
taxaja.com.br,qual a melhor maquininha,7300,22,52,280,7,organic,https://taxaja.com.br/ranking,False,True,True,False,False,False,,4,left
bancoquantum.com.br,juros compostos formula gratis,5494,19,18,277,5,organic,https://bancoquantum.com.br/blog/juros-compostos-formula-gratis,False,True,True,False,False,False,,4,both
vendamais.com.br,controle de estoque,9800,29,22,276,7,organic,https://vendamais.com.br/blog/controle-estoque,False,True,True,False,False,False,,3,both
vendamais.com.br,google meu negocio como criar passo a passo,3509,40,20,273,3,organic,https://vendamais.com.br/blog/google-meu-negocio-como-criar-passo-a-passo,False,False,True,False,True,False,,8,both
contazen.com.br,mei limite de faturamento gratis,1026,24,10,265,1,organic,https://contazen.com.br/blog/mei-limite-de-faturamento-gratis,False,False,True,False,False,False,,5,both
contazen.com.br,mei paga inss como funciona,2832,35,18,262,3,organic,https://contazen.com.br/blog/mei-paga-inss-como-funciona,False,False,True,False,False,False,,5,both
infinitepay.io,antecipacao de recebiveis,4800,33,44,260,5,organic,https://infinitepay.io/antecipacao-de-recebiveis,False,True,True,False,False,False,,3,both
nexopay.com.br,limite pix noturno o que e,1233,27,1,250,1,organic,https://nexopay.com.br/blog/limite-pix-noturno-o-que-e,False,False,True,False,False,False,,6,both
bancoquantum.com.br,como sair do vermelho simples,3755,30,37,243,4,organic,https://bancoquantum.com.br/blog/como-sair-do-vermelho-simples,False,False,True,False,False,False,,5,both
bancoaurora.com.br,folha de pagamento como funciona,5200,28,21,242,5,organic,https://bancoaurora.com.br/blog/folha-de-pagamento,False,False,True,False,False,False,,5,both
giroloja.com.br,inventario de estoque gratis,5293,37,18,225,5,organic,https://giroloja.com.br/blog/inventario-de-estoque-gratis,False,True,True,False,False,False,,4,left
credlink.com.br,antecipar recebiveis cartao,3637,35,59,210,5,organic,https://credlink.com.br/blog/antecipar-recebiveis-cartao,False,False,True,False,False,False,,3,both
nexopay.com.br,boleto vencido posso pagar vale a pena,4096,46,6,207,5,organic,https://nexopay.com.br/blog/boleto-vencido-posso-pagar-vale-a-pena,False,False,True,False,False,False,,7,both
taxaja.com.br,chargeback o que e simples,2304,24,10,205,3,organic,https://taxaja.com.br/blog/chargeback-o-que-e-simples,False,False,True,False,True,False,,5,both
giroloja.com.br,abandono de carrinho gratis,2829,27,3,201,4,organic,https://giroloja.com.br/blog/abandono-de-carrinho-gratis,False,False,True,False,False,False,,4,both
credlink.com.br,analise de credito pj,3765,61,63,199,5,organic,https://credlink.com.br/blog/analise-de-credito-pj,False,True,True,False,False,False,,4,both
pagsfera.com.br,taxa de cartao de credito,6400,23,38,196,6,organic,https://pagsfera.com.br/blog/taxa-cartao,False,True,True,False,False,False,,5,both
maquinacerta.net,maquininha com chip ou wifi o que e,811,11,22,195,1,organic,https://maquinacerta.net/blog/maquininha-com-chip-ou-wifi-o-que-e,False,False,True,False,False,False,snippet,8,both
contadorexpress.com.br,cfop tabela vale a pena,3116,19,35,192,4,organic,https://contadorexpress.com.br/blog/cfop-tabela-vale-a-pena,False,False,True,False,False,False,,5,both
financasclaras.blog.br,precificacao,14800,7,35,184,11,organic,https://financasclaras.blog.br/precificacao-guia,False,True,True,False,False,False,snippet,1,both
pagsfera.com.br,maquininha com chip ou wifi o que e,811,11,22,179,1,organic,https://pagsfera.com.br/blog/maquininha-com-chip-ou-wifi-o-que-e,False,False,True,False,False,False,snippet,8,both
contadorexpress.com.br,mei pode ter funcionario,974,12,6,177,2,organic,https://contadorexpress.com.br/blog/mei-pode-ter-funcionario,False,False,True,False,True,False,,4,both
pagsfera.com.br,tap to pay,2400,5,180,176,3,organic,https://pagsfera.com.br/tap-to-pay,True,True,True,False,False,False,snippet,3,both
contazen.com.br,margem de contribuicao,2400,9,12,174,4,organic,https://contazen.com.br/blog/margem-de-contribuicao,False,False,True,False,False,False,snippet,3,both
contadorexpress.com.br,calculadora horas extras,8800,39,3,171,8,organic,https://contadorexpress.com.br/calculadoras/horas-extras,False,False,True,False,True,False,,3,left
contazen.com.br,mei aposentadoria,2870,35,34,171,4,organic,https://contazen.com.br/blog/mei-aposentadoria,False,False,True,False,False,False,,2,both
infinitepay.io,recibo de pagamento modelo,3100,11,3,167,5,organic,https://infinitepay.io/materiais/recibo-online,False,False,True,False,True,False,snippet,4,both
giroloja.com.br,como calcular margem de lucro,1700,5,2,164,3,organic,https://giroloja.com.br/blog/como-calcular-margem-de-lucro,False,False,True,False,False,False,snippet,5,both
financasclaras.blog.br,mei aposentadoria passo a passo,5519,26,36,164,7,organic,https://financasclaras.blog.br/blog/mei-aposentadoria-passo-a-passo,False,False,True,False,False,False,,5,both
lojafacil.com.br,como precificar um produto,4100,2,10,163,5,organic,https://lojafacil.com.br/blog/como-precificar-produto,False,True,True,False,False,False,,4,both
bancoquantum.com.br,boleto vencido posso pagar vale a pena,4096,46,6,160,7,organic,https://bancoquantum.com.br/blog/boleto-vencido-posso-pagar-vale-a-pena,False,False,True,False,False,False,,7,left
bancoquantum.com.br,anuidade cartao 2026,4304,18,4,155,7,organic,https://bancoquantum.com.br/blog/anuidade-cartao-2026,False,False,True,False,False,False,,3,both
financasclaras.blog.br,margem de lucro,3300,8,1,147,5,organic,https://financasclaras.blog.br/margem-de-lucro,False,False,True,False,False,False,snippet,3,both
pagsfera.com.br,pix internacional como funciona,5745,53,19,147,9,organic,https://pagsfera.com.br/blog/pix-internacional-como-funciona,False,True,True,False,False,False,,4,both
lojafacil.com.br,como calcular preco de venda,880,6,7,146,2,organic,https://lojafacil.com.br/blog/como-calcular-preco-de-venda,False,False,True,False,False,False,snippet,5,both
contadorexpress.com.br,cfop tabela 2026,2880,16,15,146,5,organic,https://contadorexpress.com.br/blog/cfop-tabela-2026,False,False,True,False,False,False,,3,both
financasclaras.blog.br,como definir o valor do meu produto,480,6,8,145,1,organic,https://financasclaras.blog.br/como-definir-o-valor-do-meu-produto,False,False,True,False,False,False,,7,both
credlink.com.br,taxa de antecipacao,2600,19,39,141,4,organic,https://credlink.com.br/blog/taxa-antecipacao,False,True,True,False,False,False,,3,both
financasclaras.blog.br,como calcular ponto de equilibrio,2600,14,9,141,4,organic,https://financasclaras.blog.br/como-calcular-ponto-de-equilibrio,False,False,True,False,False,False,,5,both
giroloja.com.br,prazo medio de recebimento gratis,637,23,2,141,1,organic,https://giroloja.com.br/blog/prazo-medio-de-recebimento-gratis,False,False,True,False,False,False,,5,both
infinitepay.io,como gerar boleto,11000,21,6,140,12,organic,https://infinitepay.io/blog/como-gerar-boleto,False,False,True,False,False,False,,3,both
bancoaurora.com.br,pix para cnpj,1206,22,17,139,2,organic,https://bancoaurora.com.br/blog/pix-para-cnpj,False,True,True,False,False,False,,3,both
financasclaras.blog.br,quanto cobrar por um bolo,2400,9,4,138,5,organic,https://financasclaras.blog.br/quanto-cobrar-por-um-bolo,False,True,True,False,False,False,snippet,5,both
vendamais.com.br,whatsapp business catalogo gratis,440,15,5,137,1,organic,https://vendamais.com.br/blog/whatsapp-business-catalogo-gratis,False,True,True,False,False,False,,4,both
pagsfera.com.br,segunda via boleto,5482,37,20,135,7,organic,https://pagsfera.com.br/blog/segunda-via-boleto,False,False,True,False,False,False,,3,both
contazen.com.br,substituicao tributaria o que e,1000,22,30,133,2,organic,https://contazen.com.br/blog/substituicao-tributaria-o-que-e,False,False,True,False,False,False,,5,both
vendamais.com.br,planilha de vendas,2900,9,7,130,5,organic,https://vendamais.com.br/materiais/planilha-vendas,False,False,True,False,True,False,,3,left
taxaja.com.br,simulador de taxas maquininha,3400,9,55,127,5,organic,https://taxaja.com.br/simulador,False,True,True,False,True,False,,4,both
infinitepay.io,pagamento por aproximacao celular,2100,18,120,123,4,organic,https://infinitepay.io/tap-to-pay,False,True,True,False,False,False,,4,left
infinitepay.io,gerador de codigo de barras,3100,14,5,118,7,organic,https://infinitepay.io/materiais/gerador-de-codigo-de-barras,False,False,True,False,True,False,snippet,5,both
bancoaurora.com.br,conta corrente ou conta pagamento,2302,39,68,117,5,organic,https://bancoaurora.com.br/blog/conta-corrente-ou-conta-pagamento,False,False,True,False,False,False,,5,both
nexopay.com.br,checkout transparente,2300,22,41,115,4,organic,https://nexopay.com.br/checkout,False,True,True,False,False,False,,2,both
lojafacil.com.br,como calcular custo variavel,970,12,7,112,3,organic,https://lojafacil.com.br/blog/como-calcular-custo-variavel,False,False,True,False,False,False,,4,both
nexopay.com.br,prazo compensacao boleto,992,9,5,111,3,organic,https://nexopay.com.br/blog/prazo-compensacao-boleto,False,False,True,False,False,False,snippet,3,both
pagsfera.com.br,qual a melhor maquininha,7300,22,52,108,11,organic,https://pagsfera.com.br/blog/melhor-maquininha,False,True,True,False,False,False,,4,both
vendamais.com.br,abandono de carrinho gratis,2829,27,3,107,5,organic,https://vendamais.com.br/blog/abandono-de-carrinho-gratis,False,False,True,False,False,False,,4,both
vendamais.com.br,prazo medio de recebimento como funciona,4794,47,34,107,9,organic,https://vendamais.com.br/blog/prazo-medio-de-recebimento-como-funciona,False,False,True,False,True,False,,6,both
contazen.com.br,cnae mei lista,301,10,20,105,1,organic,https://contazen.com.br/blog/cnae-mei-lista,False,True,True,False,False,False,,3,both
giroloja.com.br,margem de lucro,3300,8,1,103,8,organic,https://giroloja.com.br/blog/margem-de-lucro-ideal,False,False,True,False,False,False,,3,both
contadorexpress.com.br,precificacao de servicos,1200,6,18,102,4,organic,https://contadorexpress.com.br/blog/precificacao-de-servicos,False,True,True,False,False,False,snippet,3,both
infinitepay.io,taxa de cartao de credito,6400,23,38,102,9,organic,https://infinitepay.io/blog/taxas-cartao-credito,False,True,True,False,False,False,,5,left
contazen.com.br,irpj o que e o que e,615,23,11,102,2,organic,https://contazen.com.br/blog/irpj-o-que-e-o-que-e,False,True,True,False,False,False,,7,both
infinitepay.io,como emitir nota fiscal mei,12000,18,9,101,14,organic,https://infinitepay.io/blog/nota-fiscal-mei,False,False,True,False,False,False,,5,both
contadorexpress.com.br,irpj o que e como funciona,1013,27,23,101,3,organic,https://contadorexpress.com.br/blog/irpj-o-que-e-como-funciona,False,False,True,False,True,False,,6,both
